@relation export2Exce

@attribute Content string
@attribute Sentiment {positive,negative,neutral}

@data
'want breakfast lazy ',positive
'want brother ',positive
'want carryout want ughh lls ',positive
'want chocolate chip cookies ',positive
'want cookies ',positive
'want cuddle ',positive
'want den go gettt sum ',positive
'want french fries ',positive
'want fries ',positive
'want like real brother whole restaurant ',positive
'want man ',positive
'want mcgriddle ',positive
'want mom said cause got ',positive
'want morning ',positive
'want odd yes ',positive
'want offer meatless option mcd ',positive
'want one ',positive
'want pizza made mom want ',positive
'want quarter pounder meal like literally eat horse seven half stomachs ',positive
'want really bad someone take pay gas fjcyuwu please ',positive
'want sitting like just want fries ',positive
'want sme ',positive
'want snocone today ',positive
'want thigh feel ',positive
'want work can fry ',positive
'want yanky supersize ',positive
'want yum ',positive
'wanted burger king ronald changed mind vs ',positive
'wants bring ',positive
'wants go nobody cool ',positive
'wendy grilled chicken wraps really good ',positive
'west chestnut iced caramel mocha better thi starbucks ',positive
'whoever wins treat ',positive
'wow buti kapa really fucking miss eating burger king kentucky fried chicken mama nura shit like want go back ',positive
'yeah need ',positive
'yes coke good usually costs buck yeah know mean ',positive
'yes like kinds got ',positive
