@relation 'export2Exce-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.meta.FilteredClassifier -F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 1000 -prune-rate -1.0 -N 0 -stemmer weka.core.stemmers.NullStemmer -M 1 -tokenizer \\\"weka.core.tokenizers.WordTokenizer -delimiters \\\\\\\" \\\\\\\\r\\\\\\\\n\\\\\\\\t.,;:\\\\\\\\\\\\\\\'\\\\\\\\\\\\\\\"()?!\\\\\\\"\\\"\" -W weka.classifiers.bayes.NaiveBayesMultinomial-C1-F10-T0.1-I1-V'

@attribute Content string
@attribute Sentiment {positive,negative,neutral}

@data
'reply serious burger envy right now ',neutral
'secrets behind menu ',neutral
'will starve eat ',neutral
'making smarter choices hungry road ',neutral
'th street pisses word never get order right ',negative
'fucking kidding fish chips found something cheaper ikea ',negative
'feature request withdraw adsense revenue coupon ',negative
'sad day america people work afford eat ',negative
'fat niggas feel get ',negative
'wonder time shreve city stop selling breakfast hungry ',negative
'hilarious see burning global corporations need back quick crispy ',negative
'eat minute feel good drinking water bitch touch face yeah dirty ass hands ',negative
'metro just said wants chloroform workers ',negative
'great now want hot guys running towards red shorts want holding maccies breakfast ',negative
'shaking head ',negative
'really tried cause really like drinks laughing loud ',negative
